,eventmsgtype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
78,2FG_MISS,1,2:06,MISS Gilgeous-Alexander 9' Turnaround Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
79,REB,1,2:02,,,Hardy REBOUND (Off:0 Def:1),,,Jaden Hardy,DAL,,,,
80,2FG_AST,1,1:51,,,Gafford 2' Alley Oop Dunk (2 PTS) (Hardy 1 AST),24 - 20,-4,Daniel Gafford,DAL,Jaden Hardy,DAL,,
81,2FG,1,1:29,Gilgeous-Alexander 15' Step Back Jump Shot (4 PTS),,,24 - 22,-2,Shai Gilgeous-Alexander,OKC,,,,
82,2FG_MISS,1,1:14,,,MISS Hardy 12' Pullup Jump Shot,,,Jaden Hardy,DAL,,,,
83,REB,1,1:12,Gilgeous-Alexander REBOUND (Off:0 Def:1),,,,,Shai Gilgeous-Alexander,OKC,,,,
84,2FG_MISS,1,1:05,MISS Gilgeous-Alexander 3' Driving Floating Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
85,REB,1,1:02,,,Gafford REBOUND (Off:0 Def:2),,,Daniel Gafford,DAL,,,,
86,3FG_MISS,1,0:53,,,MISS Green 24' 3PT Jump Shot,,,Josh Green,DAL,,,,
87,REB,1,0:51,Giddey REBOUND (Off:1 Def:2),,,,,Josh Giddey,OKC,,,,
88,2FG_MISS,1,0:44,MISS Giddey 1' Driving Floating Jump Shot,,,,,Josh Giddey,OKC,,,,
89,REB,1,0:44,,,Gafford REBOUND (Off:0 Def:3),,,Daniel Gafford,DAL,,,,
90,2FG_MISS,1,0:34,,,MISS Hardaway Jr. 21' Step Back Jump Shot,,,Tim Hardaway Jr.,DAL,,,,
91,REB,1,0:32,,,Gafford REBOUND (Off:1 Def:3),,,Daniel Gafford,DAL,,,,
92,3FG_MISS,1,0:24,,,MISS Hardaway Jr. 26' 3PT Pullup Jump Shot,,,Tim Hardaway Jr.,DAL,,,,
93,REB,1,0:21,Holmgren REBOUND (Off:0 Def:3),,,,,Chet Holmgren,OKC,,,,
94,3FG_MISS,1,0:02,MISS Holmgren 25' 3PT Jump Shot,,,,,Chet Holmgren,OKC,,,,
95,REB,1,0:02,,,Green REBOUND (Off:0 Def:1),,,Josh Green,DAL,,,,
96,2FG_MISS,2,11:45,MISS Holmgren 14' Turnaround Jump Shot,,,,,Chet Holmgren,OKC,,,,
97,REB,2,11:42,,,Washington REBOUND (Off:0 Def:1),,,P.J. Washington,DAL,,,,
98,2FG,2,11:24,,,Irving 12' Step Back Jump Shot (4 PTS),26 - 22,-4,Kyrie Irving,DAL,,,,
99,2FG,2,11:03,Dort 1' Driving Layup (7 PTS),,,26 - 24,-2,Luguentz Dort,OKC,,,,
100,2FG_AST,2,10:42,,,Lively II 1' Alley Oop Dunk (2 PTS) (Doncic 4 AST),28 - 24,-4,Dereck Lively II,DAL,Luka Doncic,DAL,,
101,3FG_AST,2,10:24,Giddey 3PT Jump Shot (5 PTS) (Jal. Williams 2 AST),,,28 - 27,-1,Josh Giddey,OKC,Jalen Williams,OKC,,
102,3FG_AST,2,10:08,,,Hardaway Jr. 3PT Jump Shot (3 PTS) (Washington 1 AST),31 - 27,-4,Tim Hardaway Jr.,DAL,P.J. Washington,DAL,,
103,3FG_MISS,2,9:48,MISS Jal. Williams 26' 3PT Jump Shot,,,,,Jalen Williams,OKC,,,,
104,REB,2,9:46,,,Washington REBOUND (Off:0 Def:2),,,P.J. Washington,DAL,,,,
105,2FG,2,9:30,,,Doncic 2' Driving Layup (10 PTS),33 - 27,-6,Luka Doncic,DAL,,,,
106,3FG_MISS,2,9:18,MISS Giddey 3PT Jump Shot,,,,,Josh Giddey,OKC,,,,
107,REB,2,9:14,,,Washington REBOUND (Off:0 Def:3),,,P.J. Washington,DAL,,,,
108,2FG_AST,2,9:11,,,Lively II 1' Running Alley Oop Dunk Shot (4 PTS) (Doncic 5 AST),35 - 27,-8,Dereck Lively II,DAL,Luka Doncic,DAL,,
109,2FG_MISS,2,8:47,MISS Jal. Williams 10' Driving Layup,,,,,Jalen Williams,OKC,,,,
110,REB,2,8:47,THUNDER Rebound,,,,,,,,,,
111,TO,2,8:47,THUNDER Turnover: Shot Clock (T#4),,,,,,,,,,
112,3FG_MISS,2,8:32,,,MISS Washington 3PT Jump Shot,,,P.J. Washington,DAL,,,,
113,REB,2,8:29,Jal. Williams REBOUND (Off:1 Def:1),,,,,Jalen Williams,OKC,,,,
114,SUB,2,8:21,SUB: Gilgeous-Alexander FOR Giddey,,,,,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
115,SUB,2,8:21,SUB: Joe FOR Jal. Williams,,,,,Jalen Williams,OKC,Isaiah Joe,OKC,,
116,SUB,2,8:21,,,SUB: Jones Jr. FOR Hardaway Jr.,,,Tim Hardaway Jr.,DAL,Derrick Jones Jr.,DAL,,
117,2FG_MISS_BLK,2,8:09,MISS Dort 2' Driving Layup,,Lively II BLOCK (1 BLK),,,Luguentz Dort,OKC,,,Dereck Lively II,DAL
118,REB,2,8:06,,,Jones Jr. REBOUND (Off:0 Def:1),,,Derrick Jones Jr.,DAL,,,,
119,3FG,2,7:56,,,Irving 3PT Jump Shot (7 PTS),38 - 27,-11,Kyrie Irving,DAL,,,,
120,PF,2,7:42,,,Lively II P.FOUL (P1.T1) (K.Scott),,,Dereck Lively II,DAL,Shai Gilgeous-Alexander,OKC,,
121,SUB,2,7:42,,,SUB: Hardy FOR Irving,,,Kyrie Irving,DAL,Jaden Hardy,DAL,,
122,STL_TO,2,7:35,Gilgeous-Alexander Bad Pass Turnover (P3.T5),,Lively II STEAL (1 STL),,,Shai Gilgeous-Alexander,OKC,Dereck Lively II,DAL,,
123,2FG_AST,2,7:30,,,Doncic 2' Running Layup (12 PTS) (Washington 2 AST),40 - 27,-13,Luka Doncic,DAL,P.J. Washington,DAL,,
124,PF,2,7:11,,,Jones Jr. S.FOUL (P1.T2) (J.Capers),,,Derrick Jones Jr.,DAL,Chet Holmgren,OKC,,
125,FT_MAKE,2,7:11,Holmgren Free Throw 1 of 2 (4 PTS),,,40 - 28,-12,Chet Holmgren,OKC,,,,
126,SUB,2,7:11,SUB: Jal. Williams FOR Dort,,,,,Luguentz Dort,OKC,Jalen Williams,OKC,,
127,SUB,2,7:11,SUB: Jay. Williams FOR Joe,,,,,Isaiah Joe,OKC,Jaylin Williams,OKC,,
128,SUB,2,7:11,,,SUB: Gafford FOR Lively II,,,Dereck Lively II,DAL,Daniel Gafford,DAL,,
129,FT_MAKE,2,7:11,Holmgren Free Throw 2 of 2 (5 PTS),,,40 - 29,-11,Chet Holmgren,OKC,,,,
130,2FG_MISS,2,6:55,,,MISS Hardy 6' Driving Floating Jump Shot,,,Jaden Hardy,DAL,,,,
131,REB,2,6:54,Jal. Williams REBOUND (Off:1 Def:2),,,,,Jalen Williams,OKC,,,,
132,2FG_AST,2,6:38,Holmgren 4' Floating Jump Shot (7 PTS) (Jay. Williams 1 AST),,,40 - 31,-9,Chet Holmgren,OKC,Jaylin Williams,OKC,,
133,PF,2,6:21,Jay. Williams L.B.FOUL (P1.T1) (J.Capers),,,,,Jaylin Williams,OKC,Daniel Gafford,DAL,,
134,SUB,2,6:21,SUB: Joe FOR Holmgren,,,,,Chet Holmgren,OKC,Isaiah Joe,OKC,,
135,3FG_MISS,2,6:10,,,MISS Doncic 3PT Step Back Jump Shot,,,Luka Doncic,DAL,,,,
136,REB,2,6:06,Gilgeous-Alexander REBOUND (Off:0 Def:2),,,,,Shai Gilgeous-Alexander,OKC,,,,
137,2FG,2,5:54,Gilgeous-Alexander 2' Driving Reverse Layup (6 PTS),,,40 - 33,-7,Shai Gilgeous-Alexander,OKC,,,,
138,2FG_AST,2,5:43,,,Jones Jr. 1' Alley Oop Dunk (12 PTS) (Doncic 6 AST),42 - 33,-9,Derrick Jones Jr.,DAL,Luka Doncic,DAL,,
139,2FG_MISS,2,5:30,MISS Wallace 14' Pullup Jump Shot,,,,,Cason Wallace,OKC,,,,
140,REB,2,5:26,,,Washington REBOUND (Off:0 Def:4),,,P.J. Washington,DAL,,,,
141,3FG_AST,2,5:11,,,Jones Jr. 3PT Jump Shot (15 PTS) (Washington 3 AST),45 - 33,-12,Derrick Jones Jr.,DAL,P.J. Washington,DAL,,
142,3FG_MISS,2,4:52,MISS Jay. Williams 3PT Jump Shot,,,,,Jaylin Williams,OKC,,,,
143,REB,2,4:50,,,Gafford REBOUND (Off:1 Def:4),,,Daniel Gafford,DAL,,,,
144,STL_TO,2,4:34,Gilgeous-Alexander STEAL (1 STL),,Hardy Bad Pass Turnover (P1.T3),,,Jaden Hardy,DAL,Shai Gilgeous-Alexander,OKC,,
145,3FG_MISS,2,4:31,MISS Joe 3PT Running Jump Shot,,,,,Isaiah Joe,OKC,,,,
146,REB,2,4:28,,,Doncic REBOUND (Off:0 Def:4),,,Luka Doncic,DAL,,,,
147,3FG_MISS,2,4:20,,,MISS Hardy 3PT Jump Shot,,,Jaden Hardy,DAL,,,,
148,REB,2,4:18,Gilgeous-Alexander REBOUND (Off:0 Def:3),,,,,Shai Gilgeous-Alexander,OKC,,,,
149,3FG_MISS,2,4:09,MISS Gilgeous-Alexander 26' 3PT Step Back Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
150,REB,2,4:07,,,Gafford REBOUND (Off:1 Def:5),,,Daniel Gafford,DAL,,,,
151,SUB,2,4:07,SUB: Holmgren FOR Jay. Williams,,,,,Jaylin Williams,OKC,Chet Holmgren,OKC,,
152,SUB,2,4:07,SUB: Dort FOR Wallace,,,,,Cason Wallace,OKC,Luguentz Dort,OKC,,
153,SUB,2,4:07,,,SUB: Green FOR Hardy,,,Jaden Hardy,DAL,Josh Green,DAL,,
154,SUB,2,4:07,,,SUB: Irving FOR Jones Jr.,,,Derrick Jones Jr.,DAL,Kyrie Irving,DAL,,
155,2FG_AST,2,3:51,,,Gafford 2' Layup (4 PTS) (Doncic 7 AST),47 - 33,-14,Daniel Gafford,DAL,Luka Doncic,DAL,,
156,PF,2,3:26,,,Gafford S.FOUL (P2.T3) (J.Capers),,,Daniel Gafford,DAL,Luguentz Dort,OKC,,
157,FT_MAKE,2,3:26,Dort Free Throw 1 of 2 (8 PTS),,,47 - 34,-13,Luguentz Dort,OKC,,,,
158,FT_MAKE,2,3:26,Dort Free Throw 2 of 2 (9 PTS),,,47 - 35,-12,Luguentz Dort,OKC,,,,
159,TO,2,3:07,,,Green Out of Bounds - Bad Pass Turnover Turnover (P1.T4),,,Josh Green,DAL,,,,
160,3FG_MISS,2,2:56,MISS Holmgren 25' 3PT Jump Shot,,,,,Chet Holmgren,OKC,,,,
161,REB,2,2:52,,,Doncic REBOUND (Off:0 Def:5),,,Luka Doncic,DAL,,,,
162,3FG_AST,2,2:44,,,Doncic 26' 3PT Jump Shot (15 PTS) (Irving 2 AST),50 - 35,-15,Luka Doncic,DAL,Kyrie Irving,DAL,,
163,2FG_MISS,2,2:15,MISS Jal. Williams 18' Driving Floating Jump Shot,,,,,Jalen Williams,OKC,,,,
164,REB,2,2:11,,,Doncic REBOUND (Off:0 Def:6),,,Luka Doncic,DAL,,,,
165,STL_TO,2,2:06,Jal. Williams STEAL (2 STL),,Doncic Lost Ball Turnover (P2.T5),,,Luka Doncic,DAL,Jalen Williams,OKC,,
166,2FG,2,2:03,Gilgeous-Alexander 1' Running Dunk (8 PTS),,,50 - 37,-13,Shai Gilgeous-Alexander,OKC,,,,
167,2FG_MISS,2,1:34,,,MISS Irving 5' Floating Jump Shot,,,Kyrie Irving,DAL,,,,
168,REB,2,1:31,Gilgeous-Alexander REBOUND (Off:0 Def:4),,,,,Shai Gilgeous-Alexander,OKC,,,,
169,2FG,2,1:26,Gilgeous-Alexander 12' Fadeaway Jumper (10 PTS),,,50 - 39,-11,Shai Gilgeous-Alexander,OKC,,,,
170,2FG,2,1:12,,,Doncic 7' Driving Layup (17 PTS),52 - 39,-13,Luka Doncic,DAL,,,,
171,3FG_AST,2,0:55,Joe 25' 3PT Jump Shot (6 PTS) (Jal. Williams 3 AST),,,52 - 42,-10,Isaiah Joe,OKC,Jalen Williams,OKC,,
172,2FG_MISS,2,0:33,,,MISS Doncic 14' Fadeaway Jumper,,,Luka Doncic,DAL,,,,
173,REB,2,0:29,Jal. Williams REBOUND (Off:1 Def:3),,,,,Jalen Williams,OKC,,,,
174,2FG,2,0:21,Jal. Williams 1' Driving Dunk (4 PTS),,,52 - 44,-8,Jalen Williams,OKC,,,,
175,3FG_MISS,2,0:06,,,MISS Green 3PT Jump Shot,,,Josh Green,DAL,,,,
176,REB,2,0:02,,,Washington REBOUND (Off:1 Def:4),,,P.J. Washington,DAL,,,,
177,2FG,2,0:01,,,Green 1' Layup (2 PTS),54 - 44,-10,Josh Green,DAL,,,,
178,3FG_MISS,2,0:00,MISS Jal. Williams 40' 3PT Pullup Jump Shot,,,,,Jalen Williams,OKC,,,,
179,REB,2,0:00,THUNDER Rebound,,,,,,,,,,
180,STL_TO,3,11:38,Holmgren Bad Pass Turnover (P1.T6),,Washington STEAL (1 STL),,,Chet Holmgren,OKC,P.J. Washington,DAL,,
181,2FG_AST,3,11:29,,,Gafford 5' Driving Floating Jump Shot (6 PTS) (Doncic 8 AST),56 - 44,-12,Daniel Gafford,DAL,Luka Doncic,DAL,,
182,3FG_AST,3,11:03,Gilgeous-Alexander 26' 3PT Jump Shot (13 PTS) (Dort 2 AST),,,56 - 47,-9,Shai Gilgeous-Alexander,OKC,Luguentz Dort,OKC,,
183,2FG_AST,3,10:36,,,Irving 1' Driving Layup (9 PTS) (Washington 4 AST),58 - 47,-11,Kyrie Irving,DAL,P.J. Washington,DAL,,
184,PF,3,10:20,,,Washington P.FOUL (P3.T1) (K.Scott),,,P.J. Washington,DAL,Chet Holmgren,OKC,,
185,3FG_MISS,3,10:12,MISS Jal. Williams 26' 3PT Jump Shot,,,,,Jalen Williams,OKC,,,,
186,REB,3,10:10,,,Washington REBOUND (Off:1 Def:5),,,P.J. Washington,DAL,,,,
187,STL_TO,3,10:06,Dort STEAL (1 STL),,Washington Bad Pass Turnover (P1.T6),,,P.J. Washington,DAL,Luguentz Dort,OKC,,
188,2FG,3,10:01,Gilgeous-Alexander 1' Driving Finger Roll Layup (15 PTS),,,58 - 49,-9,Shai Gilgeous-Alexander,OKC,,,,
189,3FG_MISS,3,9:50,,,MISS Jones Jr. 24' 3PT Jump Shot,,,Derrick Jones Jr.,DAL,,,,
190,REB,3,9:45,Joe REBOUND (Off:1 Def:2),,,,,Isaiah Joe,OKC,,,,
191,3FG_MISS,3,9:30,MISS Holmgren 3PT Jump Shot,,,,,Chet Holmgren,OKC,,,,
192,REB,3,9:28,,,Doncic REBOUND (Off:0 Def:7),,,Luka Doncic,DAL,,,,
193,2FG_AST,3,9:08,,,Gafford 1' Layup (8 PTS) (Jones Jr. 1 AST),60 - 49,-11,Daniel Gafford,DAL,Derrick Jones Jr.,DAL,,
194,3FG_MISS,3,8:53,MISS Joe 27' 3PT Jump Shot,,,,,Isaiah Joe,OKC,,,,
195,REB,3,8:51,THUNDER Rebound,,,,,,,,,,
196,PF,3,8:51,,,Jones Jr. L.B.FOUL (P2.T2) (C.Kirkland),,,Derrick Jones Jr.,DAL,Isaiah Joe,OKC,,
197,SUB,3,8:51,,,SUB: Lively II FOR Gafford,,,Daniel Gafford,DAL,Dereck Lively II,DAL,,
198,2FG_MISS,3,8:43,MISS Jal. Williams 17' Pullup Jump Shot,,,,,Jalen Williams,OKC,,,,
199,REB,3,8:40,,,Lively II REBOUND (Off:2 Def:1),,,Dereck Lively II,DAL,,,,
200,3FG_MISS,3,8:35,,,MISS Doncic 25' 3PT Step Back Jump Shot,,,Luka Doncic,DAL,,,,
201,REB,3,8:30,Dort REBOUND (Off:1 Def:1),,,,,Luguentz Dort,OKC,,,,
202,3FG_MISS,3,8:26,MISS Joe 26' 3PT Step Back Jump Shot,,,,,Isaiah Joe,OKC,,,,
203,REB,3,8:23,,,Washington REBOUND (Off:1 Def:6),,,P.J. Washington,DAL,,,,
204,3FG_MISS,3,8:12,,,MISS Jones Jr. 3PT Jump Shot,,,Derrick Jones Jr.,DAL,,,,
205,REB,3,8:09,Dort REBOUND (Off:1 Def:2),,,,,Luguentz Dort,OKC,,,,
206,PF,3,8:06,,,Doncic P.FOUL (P1.T3) (J.Capers),,,Luka Doncic,DAL,Shai Gilgeous-Alexander,OKC,,
207,3FG_MISS,3,7:51,MISS Joe 25' 3PT Jump Shot,,,,,Isaiah Joe,OKC,,,,
208,REB,3,7:48,,,Doncic REBOUND (Off:0 Def:8),,,Luka Doncic,DAL,,,,
209,PF,3,7:42,Dort P.FOUL (P1.T1) (K.Scott),,,,,Luguentz Dort,OKC,Dereck Lively II,DAL,,
210,SUB,3,7:42,,,SUB: Green FOR Jones Jr.,,,Derrick Jones Jr.,DAL,Josh Green,DAL,,
211,3FG_MISS,3,7:28,,,MISS Doncic 24' 3PT Step Back Jump Shot,,,Luka Doncic,DAL,,,,
212,REB,3,7:24,,,Green REBOUND (Off:1 Def:1),,,Josh Green,DAL,,,,
213,2FG_AST,3,7:22,,,Washington 1' Driving Dunk (2 PTS) (Green 2 AST),62 - 49,-13,P.J. Washington,DAL,Josh Green,DAL,,
214,2FG,3,7:02,Gilgeous-Alexander 2' Driving Layup (17 PTS),,,62 - 51,-11,Shai Gilgeous-Alexander,OKC,,,,
215,3FG_AST,3,6:44,,,Washington 3PT Jump Shot (5 PTS) (Green 3 AST),65 - 51,-14,P.J. Washington,DAL,Josh Green,DAL,,
216,SUB,3,6:44,SUB: Wallace FOR Joe,,,,,Isaiah Joe,OKC,Cason Wallace,OKC,,
217,2FG,3,6:29,Gilgeous-Alexander 16' Turnaround Fadeaway (19 PTS),,,65 - 53,-12,Shai Gilgeous-Alexander,OKC,,,,
218,2FG_MISS,3,6:07,,,MISS Doncic 15' Fadeaway Jumper,,,Luka Doncic,DAL,,,,
219,REB,3,6:05,Dort REBOUND (Off:1 Def:3),,,,,Luguentz Dort,OKC,,,,
220,2FG_MISS,3,5:55,MISS Gilgeous-Alexander 6' Driving Floating Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
221,REB,3,5:53,,,Lively II REBOUND (Off:2 Def:2),,,Dereck Lively II,DAL,,,,
222,3FG_MISS,3,5:39,,,MISS Green 24' 3PT Jump Shot,,,Josh Green,DAL,,,,
223,REB,3,5:35,,,Irving REBOUND (Off:1 Def:0),,,Kyrie Irving,DAL,,,,
224,2FG_MISS,3,5:35,,,MISS Irving 3' Tip Layup Shot,,,Kyrie Irving,DAL,,,,
225,REB,3,5:35,,,Lively II REBOUND (Off:3 Def:2),,,Dereck Lively II,DAL,,,,
226,3FG_AST,3,5:32,,,Doncic 25' 3PT Jump Shot (20 PTS) (Lively II 1 AST),68 - 53,-15,Luka Doncic,DAL,Dereck Lively II,DAL,,
227,PF,3,5:13,,,Mavericks T.Foul (Def. 3 Sec Washington ) (K.Scott),,,P.J. Washington,DAL,,,,
228,FT_MAKE,3,5:13,Gilgeous-Alexander Free Throw Technical (20 PTS),,,68 - 54,-14,Shai Gilgeous-Alexander,OKC,,,,
229,SUB,3,5:13,SUB: Jay. Williams FOR Holmgren,,,,,Chet Holmgren,OKC,Jaylin Williams,OKC,,
230,SUB,3,5:13,,,SUB: Hardy FOR Doncic,,,Luka Doncic,DAL,Jaden Hardy,DAL,,
231,SUB,3,5:13,SUB: Giddey FOR Dort,,,,,Luguentz Dort,OKC,Josh Giddey,OKC,,
232,2FG_AST,3,5:02,Giddey 2' Cutting Layup Shot (7 PTS) (Gilgeous-Alexander 4 AST),,,68 - 56,-12,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
233,STL_TO,3,4:45,Jal. Williams STEAL (3 STL),,Irving Bad Pass Turnover (P1.T7),,,Kyrie Irving,DAL,Jalen Williams,OKC,,
234,PF,3,4:44,,,Irving P.FOUL (P2.T4) (C.Kirkland),,,Kyrie Irving,DAL,Josh Giddey,OKC,,
235,3FG_MISS,3,4:35,MISS Giddey 3PT Jump Shot,,,,,Josh Giddey,OKC,,,,
236,REB,3,4:31,,,Washington REBOUND (Off:1 Def:7),,,P.J. Washington,DAL,,,,
237,3FG_AST,3,4:14,,,Green 3PT Jump Shot (5 PTS) (Irving 3 AST),71 - 56,-15,Josh Green,DAL,Kyrie Irving,DAL,,
238,PF,3,3:59,,,Lively II S.FOUL (P2.PN) (K.Scott),,,Dereck Lively II,DAL,Shai Gilgeous-Alexander,OKC,,
239,FT_MISS,3,3:59,MISS Gilgeous-Alexander Free Throw 1 of 2,,,,,Shai Gilgeous-Alexander,OKC,,,,
240,REB,3,3:59,THUNDER Rebound,,,,,,,,,,
241,SUB,3,3:59,SUB: Wiggins FOR Jal. Williams,,,,,Jalen Williams,OKC,Aaron Wiggins,OKC,,
242,SUB,3,3:59,,,SUB: Gafford FOR Lively II,,,Dereck Lively II,DAL,Daniel Gafford,DAL,,
243,SUB,3,3:59,,,SUB: Jones Jr. FOR Washington,,,P.J. Washington,DAL,Derrick Jones Jr.,DAL,,
244,FT_MAKE,3,3:59,Gilgeous-Alexander Free Throw 2 of 2 (21 PTS),,,71 - 57,-14,Shai Gilgeous-Alexander,OKC,,,,
245,2FG_MISS,3,3:44,,,MISS Irving 13' Jump Bank Shot,,,Kyrie Irving,DAL,,,,
246,REB,3,3:41,Jay. Williams REBOUND (Off:0 Def:1),,,,,Jaylin Williams,OKC,,,,
247,3FG_AST,3,3:30,Wallace 26' 3PT Jump Shot (3 PTS) (Giddey 2 AST),,,71 - 60,-11,Cason Wallace,OKC,Josh Giddey,OKC,,
248,PF,3,3:08,,,Gafford Offensive Charge Foul (P3) (C.Kirkland),,,Daniel Gafford,DAL,Jaylin Williams,OKC,,
249,TO,3,3:08,,,Gafford Offensive Foul Turnover (P1.T8),,,Daniel Gafford,DAL,,,,
250,2FG_MISS,3,2:54,MISS Gilgeous-Alexander 15' Pullup Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
251,REB,3,2:50,Wiggins REBOUND (Off:2 Def:1),,,,,Aaron Wiggins,OKC,,,,
252,2FG_MISS,3,2:38,MISS Wallace 7' Driving Floating Jump Shot,,,,,Cason Wallace,OKC,,,,
253,REB,3,2:34,,,Gafford REBOUND (Off:1 Def:6),,,Daniel Gafford,DAL,,,,
254,3FG_AST,3,2:25,,,Irving 25' 3PT Jump Shot (12 PTS) (Gafford 1 AST),74 - 60,-14,Kyrie Irving,DAL,Daniel Gafford,DAL,,
255,2FG_AST,3,2:05,Giddey 16' Jump Shot (9 PTS) (Gilgeous-Alexander 5 AST),,,74 - 62,-12,Josh Giddey,OKC,Shai Gilgeous-Alexander,OKC,,
256,PF,3,1:58,Wallace P.FOUL (P1.T2) (J.Capers),,,,,Cason Wallace,OKC,Kyrie Irving,DAL,,
257,SUB,3,1:58,SUB: Dort FOR Giddey,,,,,Josh Giddey,OKC,Luguentz Dort,OKC,,
258,SUB,3,1:58,SUB: Holmgren FOR Jay. Williams,,,,,Jaylin Williams,OKC,Chet Holmgren,OKC,,
259,SUB,3,1:58,,,SUB: Powell FOR Hardy,,,Jaden Hardy,DAL,Dwight Powell,DAL,,
260,SUB,3,1:58,,,SUB: Washington FOR Irving,,,Kyrie Irving,DAL,P.J. Washington,DAL,,
261,SUB,3,1:58,,,SUB: Lively II FOR Jones Jr.,,,Derrick Jones Jr.,DAL,Dereck Lively II,DAL,,
262,SUB,3,1:58,,,SUB: Doncic FOR Green,,,Josh Green,DAL,Luka Doncic,DAL,,
263,SUB,3,1:58,,,SUB: Hardy FOR Gafford,,,Daniel Gafford,DAL,Jaden Hardy,DAL,,
