,eventmsgtype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
312,STL_TO,4,7:43,Gilgeous-Alexander STEAL (2 STL),,Hardaway Jr. Lost Ball Turnover (P1.T13),,,Tim Hardaway Jr.,DAL,Shai Gilgeous-Alexander,OKC,,
313,2FG_AST,4,7:30,Holmgren 1' Dunk (9 PTS) (Dort 3 AST),,,89 - 76,-13,Chet Holmgren,OKC,Luguentz Dort,OKC,,
314,3FG_MISS,4,7:14,,,MISS Hardaway Jr. 3PT Jump Shot,,,Tim Hardaway Jr.,DAL,,,,
315,REB,4,7:12,Jal. Williams REBOUND (Off:1 Def:4),,,,,Jalen Williams,OKC,,,,
316,3FG_AST,4,6:51,Dort 25' 3PT Jump Shot (12 PTS) (Holmgren 1 AST),,,89 - 79,-10,Luguentz Dort,OKC,Chet Holmgren,OKC,,
317,SUB,4,6:49,,,SUB: Jones Jr. FOR Hardaway Jr.,,,Tim Hardaway Jr.,DAL,Derrick Jones Jr.,DAL,,
318,2FG_MISS,4,6:31,,,MISS Irving 15' Pullup Jump Shot,,,Kyrie Irving,DAL,,,,
319,REB,4,6:26,Dort REBOUND (Off:1 Def:4),,,,,Luguentz Dort,OKC,,,,
320,2FG_AST,4,6:10,Jal. Williams 1' Driving Layup (10 PTS) (Gilgeous-Alexander 6 AST),,,89 - 81,-8,Jalen Williams,OKC,Shai Gilgeous-Alexander,OKC,,
321,STL_TO,4,5:57,Dort STEAL (2 STL),,Doncic Bad Pass Turnover (P3.T14),,,Luka Doncic,DAL,Luguentz Dort,OKC,,
322,STL_TO,4,5:39,Dort Bad Pass Turnover (P1.T7),,Irving STEAL (1 STL),,,Luguentz Dort,OKC,Kyrie Irving,DAL,,
323,PF,4,5:29,Gilgeous-Alexander S.FOUL (P2.T3) (K.Scott),,,,,Shai Gilgeous-Alexander,OKC,Daniel Gafford,DAL,,
324,FT_MISS,4,5:29,,,MISS Gafford Free Throw 1 of 2,,,Daniel Gafford,DAL,,,,
325,REB,4,5:29,,,Mavericks Rebound,,,,,,,,
326,FT_MAKE,4,5:29,,,Gafford Free Throw 2 of 2 (9 PTS),90 - 81,-9,Daniel Gafford,DAL,,,,
327,2FG_AST,4,5:16,Holmgren 2' Driving Dunk (11 PTS) (Gilgeous-Alexander 7 AST),,,90 - 83,-7,Chet Holmgren,OKC,Shai Gilgeous-Alexander,OKC,,
328,3FG_AST,4,4:54,,,Washington 3PT Jump Shot (8 PTS) (Doncic 10 AST),93 - 83,-10,P.J. Washington,DAL,Luka Doncic,DAL,,
329,2FG_AST,4,4:34,Jal. Williams 14' Pullup Jump Shot (12 PTS) (Dort 4 AST),,,93 - 85,-8,Jalen Williams,OKC,Luguentz Dort,OKC,,
330,3FG_MISS_BLK,4,4:09,Gilgeous-Alexander BLOCK (1 BLK),,MISS Washington 3PT Jump Shot,,,P.J. Washington,DAL,,,Shai Gilgeous-Alexander,OKC
331,REB,4,4:05,,,Washington REBOUND (Off:2 Def:8),,,P.J. Washington,DAL,,,,
332,2FG,4,4:04,,,Washington 2' Putback Dunk (10 PTS),95 - 85,-10,P.J. Washington,DAL,,,,
333,PF,4,3:46,,,Doncic S.FOUL (P3.T2) (K.Scott),,,Luka Doncic,DAL,Shai Gilgeous-Alexander,OKC,,
334,SUB,4,3:46,,,SUB: Lively II FOR Gafford,,,Daniel Gafford,DAL,Dereck Lively II,DAL,,
335,FT_MISS,4,3:46,MISS Gilgeous-Alexander Free Throw 1 of 2,,,,,Shai Gilgeous-Alexander,OKC,,,,
336,REB,4,3:46,THUNDER Rebound,,,,,,,,,,
337,FT_MAKE,4,3:46,Gilgeous-Alexander Free Throw 2 of 2 (28 PTS),,,95 - 86,-9,Shai Gilgeous-Alexander,OKC,,,,
338,2FG_MISS,4,3:27,,,MISS Doncic 15' Turnaround Fadeaway Shot,,,Luka Doncic,DAL,,,,
339,REB,4,3:24,Dort REBOUND (Off:1 Def:5),,,,,Luguentz Dort,OKC,,,,
340,3FG_MISS,4,3:03,MISS Wallace 24' 3PT Jump Shot,,,,,Cason Wallace,OKC,,,,
341,REB,4,2:59,,,Lively II REBOUND (Off:3 Def:5),,,Dereck Lively II,DAL,,,,
342,PF,4,2:46,Dort P.FOUL (P4.T4) (C.Kirkland),,,,,Luguentz Dort,OKC,Dereck Lively II,DAL,,
343,SUB,4,2:46,SUB: Joe FOR Wallace,,,,,Cason Wallace,OKC,Isaiah Joe,OKC,,
344,3FG_MISS,4,2:35,,,MISS Doncic 33' 3PT Jump Shot,,,Luka Doncic,DAL,,,,
345,REB,4,2:31,Jal. Williams REBOUND (Off:1 Def:5),,,,,Jalen Williams,OKC,,,,
346,3FG_MISS,4,2:27,MISS Dort 3PT Running Jump Shot,,,,,Luguentz Dort,OKC,,,,
347,REB,4,2:27,,,Lively II REBOUND (Off:3 Def:6),,,Dereck Lively II,DAL,,,,
348,PF,4,2:17,Jal. Williams P.FOUL (P2.PN) (C.Kirkland),,,,,Jalen Williams,OKC,Dereck Lively II,DAL,,
349,FT_MAKE,4,2:17,,,Lively II Free Throw 1 of 2 (7 PTS),96 - 86,-10,Dereck Lively II,DAL,,,,
350,FT_MAKE,4,2:17,,,Lively II Free Throw 2 of 2 (8 PTS),97 - 86,-11,Dereck Lively II,DAL,,,,
351,3FG_MISS_BLK,4,2:06,MISS Holmgren 25' 3PT Jump Shot,,Jones Jr. BLOCK (1 BLK),,,Chet Holmgren,OKC,,,Derrick Jones Jr.,DAL
