eventmsgtype,period,pctimestring,score,scoremargin,player1_name,player2_name,player3_name,homedescription,visitordescription,neutraldescription
SUBSTITUTION,2,0:28,,,Coby White,Ayo Dosunmu,,SUB: Dosunmu FOR White,,
FOUL,2,0:16,,,Alex Caruso,Shai Gilgeous-Alexander,,Caruso P.FOUL (P3.PN) (T.Ford),,
MADE FREE THROW,2,0:16,71 - 58,-13,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Free Throw 1 of 2 (14 PTS),
SUBSTITUTION,2,0:16,,,Alex Caruso,Coby White,,SUB: White FOR Caruso,,
SUBSTITUTION,2,0:16,,,Josh Giddey,Darius Bazley,,,SUB: Bazley FOR Giddey,
SUBSTITUTION,2,0:16,,,Mike Muscala,Kenrich Williams,,,SUB: K. Williams FOR Muscala,
MADE FREE THROW,2,0:16,72 - 58,-14,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Free Throw 2 of 2 (15 PTS),
MISS-BLOCK,2,0:02,,,Nikola Vucevic,,,MISS Vucevic 3PT Jump Shot,,
DREB-OREB,2,0:00,,,Jalen Williams,,,,Jal. Williams REBOUND (Off:1 Def:4),
MISS-BLOCK,2,0:00,,,Jalen Williams,,,,MISS Jal. Williams 35' 3PT Running Pull-Up Jump Shot,
DREB-OREB,2,0:00,,,,,,,Thunder Rebound,
MADE FG - ASSISTMADE FREE THROW,2,0:00,72 - 58,-14,,,,,,End of 2nd Period (9:06 PM EST)
MADE FG - ASSISTMISS-BLOCK,3,12:00,72 - 58,-14,,,,,,Start of 3rd Period (9:21 PM EST)
MADE FG - ASSIST,3,11:41,72 - 60,-12,Patrick Williams,Alex Caruso,,Williams 5' Turnaround Jump Shot (9 PTS) (Caruso 3 AST),,
MADE FG - ASSIST,3,11:24,74 - 60,-14,Josh Giddey,,,,Giddey 7' Driving Floating Bank Jump Shot (9 PTS),
FOUL,3,11:24,,,Ayo Dosunmu,Josh Giddey,,Dosunmu S.FOUL (P3.T1) (T.Ford),,
MADE FREE THROW,3,11:24,75 - 60,-15,Josh Giddey,,,,Giddey Free Throw 1 of 1 (10 PTS),
FOUL,3,11:06,,,Josh Giddey,Patrick Williams,,,Giddey S.FOUL (P1.T1) (B.Adair),
MADE FREE THROW,3,11:06,75 - 61,-14,Patrick Williams,,,Williams Free Throw 1 of 2 (10 PTS),,
MADE FREE THROW,3,11:06,75 - 62,-13,Patrick Williams,,,Williams Free Throw 2 of 2 (11 PTS),,
MADE FG - ASSIST,3,10:56,77 - 62,-15,Josh Giddey,Luguentz Dort,,,Giddey Layup (12 PTS) (Dort 2 AST),
MISS-BLOCK,3,10:49,,,Zach LaVine,,Shai Gilgeous-Alexander,MISS LaVine 3' Driving Layup,Gilgeous-Alexander BLOCK (2 BLK),
DREB-OREB,3,10:47,,,Josh Giddey,,,,Giddey REBOUND (Off:1 Def:3),
MISS-BLOCK,3,10:36,,,Mike Muscala,,,,MISS Muscala 27' 3PT Jump Shot,
DREB-OREB,3,10:32,,,Zach LaVine,,,LaVine REBOUND (Off:0 Def:2),,
MISS-BLOCK,3,10:26,,,Ayo Dosunmu,,,MISS Dosunmu 2' Running Layup,,
DREB-OREB,3,10:24,,,Mike Muscala,,,,Muscala REBOUND (Off:2 Def:1),
MADE FG - ASSIST,3,10:16,80 - 62,-18,Josh Giddey,Shai Gilgeous-Alexander,,,Giddey 25' 3PT Jump Shot (15 PTS) (Gilgeous-Alexander 5 AST),
9,3,10:15,,,,,,BULLS Timeout: Regular (Full 3 Short 0),,
MADE FG - ASSIST,3,9:59,80 - 64,-16,Patrick Williams,Nikola Vucevic,,Williams 18' Pullup Jump Shot (13 PTS) (Vucevic 3 AST),,
STEAL-TUROVER,3,9:36,,,Shai Gilgeous-Alexander,Patrick Williams,,Williams STEAL (1 STL),Gilgeous-Alexander Lost Ball Turnover (P1.T5),
MISS-BLOCK,3,9:26,,,Nikola Vucevic,,,MISS Vucevic 13' Jump Shot,,
DREB-OREB,3,9:23,,,Josh Giddey,,,,Giddey REBOUND (Off:1 Def:4),
MISS-BLOCK,3,9:18,,,Luguentz Dort,,,,MISS Dort 27' 3PT Jump Shot,
DREB-OREB,3,9:14,,,Nikola Vucevic,,,Vucevic REBOUND (Off:0 Def:5),,
MADE FG - ASSIST,3,9:08,80 - 67,-13,Nikola Vucevic,Patrick Williams,,Vucevic 25' 3PT Jump Shot (7 PTS) (Williams 2 AST),,
MADE FG - ASSIST,3,8:40,82 - 67,-15,Luguentz Dort,Jalen Williams,,,Dort 1' Driving Layup (11 PTS) (Jal. Williams 2 AST),
STEAL-TUROVER,3,8:34,,,Ayo Dosunmu,Shai Gilgeous-Alexander,,Dosunmu Lost Ball Turnover (P2.T9),Gilgeous-Alexander STEAL (4 STL),
FOUL,3,8:31,,,Ayo Dosunmu,Shai Gilgeous-Alexander,,Dosunmu P.FOUL (P4.T2) (B.Adair),,
SUBSTITUTION,3,8:31,,,Ayo Dosunmu,Coby White,,SUB: White FOR Dosunmu,,
STEAL-TUROVER,3,8:30,,,Josh Giddey,,,,Giddey Out of Bounds - Bad Pass Turnover Turnover (P2.T6),
MADE FG - ASSIST,3,8:10,82 - 70,-12,Alex Caruso,Coby White,,Caruso 29' 3PT Jump Shot (8 PTS) (White 4 AST),,
MISS-BLOCK,3,7:56,,,Mike Muscala,,,,MISS Muscala 27' 3PT Jump Shot,
DREB-OREB,3,7:53,,,Coby White,,,White REBOUND (Off:0 Def:3),,
MISS-BLOCK,3,7:44,,,Patrick Williams,,,MISS Williams 26' 3PT Pullup Jump Shot,,
DREB-OREB,3,7:39,,,Nikola Vucevic,,,Vucevic REBOUND (Off:1 Def:5),,
MISS-BLOCK,3,7:37,,,Coby White,,,MISS White 25' 3PT Jump Shot,,
DREB-OREB,3,7:35,,,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander REBOUND (Off:0 Def:4),
MADE FG - ASSIST,3,7:26,84 - 70,-14,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander 17' Pullup Jump Shot (17 PTS),
MISS-BLOCK,3,7:11,,,Zach LaVine,,,MISS LaVine 20' Pullup Jump Shot,,
DREB-OREB,3,7:05,,,Josh Giddey,,,,Giddey REBOUND (Off:1 Def:5),
STEAL-TUROVER,3,6:56,,,Shai Gilgeous-Alexander,Nikola Vucevic,,Vucevic STEAL (1 STL),Gilgeous-Alexander Lost Ball Turnover (P2.T7),
MADE FG - ASSIST,3,6:46,84 - 72,-12,Nikola Vucevic,Coby White,,Vucevic 2' Cutting Layup Shot (9 PTS) (White 5 AST),,
MADE FG - ASSIST,3,6:31,86 - 72,-14,Josh Giddey,,,,Giddey 4' Driving Floating Jump Shot (17 PTS),
MADE FG - ASSIST,3,6:05,86 - 75,-11,Patrick Williams,Coby White,,Williams 3PT Jump Shot (16 PTS) (White 6 AST),,
MISS-BLOCK,3,5:48,,,Luguentz Dort,,,,MISS Dort 26' 3PT Jump Shot,
DREB-OREB,3,5:45,,,Zach LaVine,,,LaVine REBOUND (Off:0 Def:3),,
MADE FG - ASSIST,3,5:37,86 - 77,-9,Nikola Vucevic,Zach LaVine,,Vucevic 2' Driving Layup (11 PTS) (LaVine 4 AST),,
9,3,5:36,,,,,,,Thunder Timeout: Regular (Reg.3 Short 0),
SUBSTITUTION,3,5:36,,,Alex Caruso,Goran Dragic,,SUB: Dragic FOR Caruso,,
SUBSTITUTION,3,5:36,,,Nikola Vucevic,Derrick Jones Jr.,,SUB: Jones Jr. FOR Vucevic,,
SUBSTITUTION,3,5:36,,,Mike Muscala,Kenrich Williams,,,SUB: K. Williams FOR Muscala,
MISS-BLOCK,3,5:17,,,Josh Giddey,,,,MISS Giddey 26' 3PT Jump Shot,
DREB-OREB,3,5:13,,,Luguentz Dort,,,,Dort REBOUND (Off:1 Def:0),
MISS-BLOCK,3,5:06,,,Luguentz Dort,,,,MISS Dort 3PT Jump Shot,
DREB-OREB,3,5:03,,,Zach LaVine,,,LaVine REBOUND (Off:0 Def:4),,
FOUL,3,4:45,,,Luguentz Dort,Coby White,,,Dort P.FOUL (P2.T2) (T.Ford),
SUBSTITUTION,3,4:45,,,Josh Giddey,Lindy Waters III,,,SUB: Waters III FOR Giddey,
MADE FG - ASSIST,3,4:34,86 - 79,-7,Coby White,Zach LaVine,,White 1' Driving Finger Roll Layup (16 PTS) (LaVine 5 AST),,
MISS-BLOCK,3,4:08,,,Shai Gilgeous-Alexander,,,,MISS Gilgeous-Alexander 12' Fadeaway Jumper,
DREB-OREB,3,4:06,,,Coby White,,,White REBOUND (Off:0 Def:4),,
FOUL,3,3:57,,,Lindy Waters III,Patrick Williams,,,Waters III S.FOUL (P2.T3) (B.Adair),
MADE FREE THROW,3,3:57,86 - 80,-6,Patrick Williams,,,Williams Free Throw 1 of 2 (17 PTS),,
SUBSTITUTION,3,3:57,,,Luguentz Dort,Aaron Wiggins,,,SUB: Wiggins FOR Dort,
MADE FREE THROW,3,3:57,86 - 81,-5,Patrick Williams,,,Williams Free Throw 2 of 2 (18 PTS),,
MADE FG - ASSIST,3,3:45,88 - 81,-7,Jalen Williams,,,,Jal. Williams 2' Driving Layup (12 PTS),
FOUL,3,3:45,,,Patrick Williams,Jalen Williams,,Williams S.FOUL (P3.T3) (T.Ford),,
SUBSTITUTION,3,3:45,,,Patrick Williams,Nikola Vucevic,,SUB: Vucevic FOR Williams,,
MADE FREE THROW,3,3:45,89 - 81,-8,Jalen Williams,,,,Jal. Williams Free Throw 1 of 1 (13 PTS),
STEAL-TUROVER,3,3:32,,,Zach LaVine,,,LaVine Out of Bounds - Bad Pass Turnover Turnover (P2.T10),,
MADE FG - ASSIST,3,3:15,91 - 81,-10,Kenrich Williams,Lindy Waters III,,,K. Williams 8' Driving Floating Jump Shot (5 PTS) (Waters III 3 AST),
MISS-BLOCK,3,3:06,,,Zach LaVine,,,MISS LaVine Driving Layup,,
DREB-OREB,3,3:04,,,Derrick Jones Jr.,,,Jones Jr. REBOUND (Off:1 Def:2),,
MADE FG - ASSIST,3,3:04,91 - 83,-8,Derrick Jones Jr.,,,Jones Jr. Tip Dunk Shot (7 PTS),,
MISS-BLOCK,3,2:50,,,Kenrich Williams,,,,MISS K. Williams 25' 3PT Jump Shot,
DREB-OREB,3,2:48,,,Zach LaVine,,,LaVine REBOUND (Off:0 Def:5),,
MISS-BLOCK,3,2:28,,,Coby White,,,MISS White 11' Driving Floating Bank Jump Shot,,
DREB-OREB,3,2:28,,,,,,BULLS Rebound,,
FOUL,3,2:28,,,Lindy Waters III,Nikola Vucevic,,,Waters III L.B.FOUL (P3.T4) (T.Ford),
SUBSTITUTION,3,2:28,,,Zach LaVine,Alex Caruso,,SUB: Caruso FOR LaVine,,
MADE FG - ASSIST,3,2:22,91 - 85,-6,Goran Dragic,,,Dragic 1' Driving Layup (9 PTS),,
MISS-BLOCK,3,2:02,,,Shai Gilgeous-Alexander,,,,MISS Gilgeous-Alexander 3' Driving Layup,
DREB-OREB,3,1:57,,,Derrick Jones Jr.,,,Jones Jr. REBOUND (Off:1 Def:3),,
MADE FG - ASSIST,3,1:46,91 - 87,-4,Nikola Vucevic,Alex Caruso,,Vucevic 2' Layup (13 PTS) (Caruso 4 AST),,
9,3,1:46,,,,,,,Thunder Timeout: Regular (Reg.4 Short 0),
SUBSTITUTION,3,1:46,,,Jalen Williams,Tre Mann,,,SUB: Mann FOR Jal. Williams,
SUBSTITUTION,3,1:46,,,Aaron Wiggins,Mike Muscala,,,SUB: Muscala FOR Wiggins,
MISS-BLOCK,3,1:35,,,Shai Gilgeous-Alexander,,Derrick Jones Jr.,Jones Jr. BLOCK (3 BLK),MISS Gilgeous-Alexander 13' Pullup Jump Shot,
DREB-OREB,3,1:32,,,Mike Muscala,,,,Muscala REBOUND (Off:3 Def:1),
MISS-BLOCK,3,1:31,,,Mike Muscala,,,,MISS Muscala 25' 3PT Jump Shot,
DREB-OREB,3,1:31,,,Alex Caruso,,,Caruso REBOUND (Off:1 Def:2),,
STEAL-TUROVER,3,1:22,,,Nikola Vucevic,,,Vucevic Traveling Turnover (P3.T11),,
STEAL-TUROVER,3,1:10,,,Lindy Waters III,,,,Waters III Traveling Turnover (P1.T8),
MADE FG - ASSIST,3,0:57,91 - 90,-1,Alex Caruso,Nikola Vucevic,,Caruso 3PT Jump Shot (11 PTS) (Vucevic 4 AST),,
FOUL,3,0:50,,,Derrick Jones Jr.,Shai Gilgeous-Alexander,,Jones Jr. P.FOUL (P1.T4) (D.Taylor),,
STEAL-TUROVER,3,0:39,,,Tre Mann,Alex Caruso,,Caruso STEAL (4 STL),Mann Lost Ball Turnover (P1.T9),
MISS-BLOCK,3,0:25,,,Nikola Vucevic,,,MISS Vucevic 2' Layup,,
DREB-OREB,3,0:23,,,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander REBOUND (Off:0 Def:5),
MISS-BLOCK,3,0:05,,,Lindy Waters III,,,,MISS Waters III 26' 3PT Jump Shot,
DREB-OREB,3,0:03,,,,,,,Thunder Rebound,
SUBSTITUTION,3,0:03,,,Kenrich Williams,Josh Giddey,,,SUB: Giddey FOR K. Williams,
MISS-BLOCK,3,0:00,,,Mike Muscala,,,,MISS Muscala 3PT Jump Shot,
DREB-OREB,3,0:00,,,Josh Giddey,,,,Giddey REBOUND (Off:2 Def:5),
MADE FG - ASSISTMADE FREE THROW,3,0:00,91 - 90,-1,,,,,,End of 3rd Period (9:46 PM EST)
MADE FG - ASSISTMISS-BLOCK,4,12:00,91 - 90,-1,,,,,,Start of 4th Period (9:48 PM EST)
STEAL-TUROVER,4,11:35,,,,,,,Thunder Turnover: Shot Clock (T#10),
MISS-BLOCK,4,11:23,,,Goran Dragic,,,MISS Dragic 15' Pullup Jump Shot,,
DREB-OREB,4,11:21,,,Jalen Williams,,,,Jal. Williams REBOUND (Off:1 Def:5),
MADE FG - ASSIST,4,11:04,93 - 90,-3,Jalen Williams,,,,Jal. Williams 1' Driving Reverse Layup (15 PTS),
MISS-BLOCK,4,10:40,,,Derrick Jones Jr.,,Darius Bazley,MISS Jones Jr. 2' Layup,Bazley BLOCK (1 BLK),
DREB-OREB,4,10:40,,,Alex Caruso,,,Caruso REBOUND (Off:2 Def:2),,
MISS-BLOCK,4,10:39,,,Coby White,,,MISS White 27' 3PT Jump Shot,,
DREB-OREB,4,10:39,,,,,,BULLS Rebound,,
FOUL,4,10:38,,,Tre Mann,Alex Caruso,,,Mann L.B.FOUL (P2.T1) (T.Ford),
SUBSTITUTION,4,10:38,,,Derrick Jones Jr.,Patrick Williams,,SUB: Williams FOR Jones Jr.,,
MADE FG - ASSIST,4,10:31,93 - 92,-1,Nikola Vucevic,Goran Dragic,,Vucevic 1' Layup (15 PTS) (Dragic 3 AST),,
MADE FG - ASSIST,4,10:12,95 - 92,-3,Mike Muscala,Josh Giddey,,,Muscala Driving Layup (8 PTS) (Giddey 4 AST),
7,4,10:00,,,Darius Bazley,,,,Bazley Violation:Kicked Ball (D.Taylor),
SUBSTITUTION,4,10:00,,,Tre Mann,Kenrich Williams,,,SUB: K. Williams FOR Mann,
MISS-BLOCK,4,9:49,,,Alex Caruso,,,MISS Caruso 3PT Jump Shot,,
DREB-OREB,4,9:47,,,Josh Giddey,,,,Giddey REBOUND (Off:2 Def:6),
MADE FG - ASSIST,4,9:42,97 - 92,-5,Josh Giddey,,,,Giddey 5' Driving Floating Jump Shot (19 PTS),
MISS-BLOCK,4,9:24,,,Patrick Williams,,,MISS Williams 3PT Jump Shot,,
DREB-OREB,4,9:24,,,Nikola Vucevic,,,Vucevic REBOUND (Off:2 Def:5),,
MISS-BLOCK,4,9:18,,,Goran Dragic,,,MISS Dragic 3PT Jump Shot,,
DREB-OREB,4,9:15,,,Josh Giddey,,,,Giddey REBOUND (Off:2 Def:7),
MISS-BLOCK,4,8:54,,,Kenrich Williams,,,,MISS K. Williams 25' 3PT Jump Shot,
DREB-OREB,4,8:53,,,Coby White,,,White REBOUND (Off:0 Def:5),,
9,4,8:53,,,,,,BULLS Timeout: Regular (Full 4 Short 0),,
SUBSTITUTION,4,8:53,,,Coby White,Zach LaVine,,SUB: LaVine FOR White,,
SUBSTITUTION,4,8:53,,,Alex Caruso,Ayo Dosunmu,,SUB: Dosunmu FOR Caruso,,
SUBSTITUTION,4,8:53,,,Mike Muscala,Aaron Wiggins,,,SUB: Wiggins FOR Muscala,
MADE FG - ASSIST,4,8:40,97 - 94,-3,Nikola Vucevic,Goran Dragic,,Vucevic 7' Floating Jump Shot (17 PTS) (Dragic 4 AST),,
MISS-BLOCK,4,8:20,,,Josh Giddey,,,,MISS Giddey 12' Driving Floating Jump Shot,
DREB-OREB,4,8:17,,,Darius Bazley,,,,Bazley REBOUND (Off:1 Def:2),
MISS-BLOCK,4,8:17,,,Darius Bazley,,,,MISS Bazley Tip Layup Shot,
DREB-OREB,4,8:16,,,Nikola Vucevic,,,Vucevic REBOUND (Off:2 Def:6),,
MISS-BLOCK,4,8:13,,,Nikola Vucevic,,,MISS Vucevic 28' 3PT Jump Shot,,
DREB-OREB,4,8:10,,,Jalen Williams,,,,Jal. Williams REBOUND (Off:1 Def:6),
MADE FG - ASSIST,4,7:59,99 - 94,-5,Darius Bazley,,,,Bazley 1' Driving Layup (13 PTS),
FOUL,4,7:59,,,Nikola Vucevic,Darius Bazley,,Vucevic S.FOUL (P2.T1) (T.Ford),,
MADE FREE THROW,4,7:59,100 - 94,-6,Darius Bazley,,,,Bazley Free Throw 1 of 1 (14 PTS),
STEAL-TUROVER,4,7:51,,,Goran Dragic,Darius Bazley,,Dragic Bad Pass Turnover (P2.T12),Bazley STEAL (1 STL),
MADE FG - ASSIST,4,7:37,102 - 94,-8,Josh Giddey,,,,Giddey 2' Driving Floating Bank Jump Shot (21 PTS),
STEAL-TUROVER,4,7:24,,,Ayo Dosunmu,Jalen Williams,,Dosunmu Bad Pass Turnover (P3.T13),Jal. Williams STEAL (2 STL),
MADE FG - ASSIST,4,7:22,104 - 94,-10,Aaron Wiggins,Jalen Williams,,,Wiggins Running Layup (4 PTS) (Jal. Williams 3 AST),
9,4,7:22,,,,,,BULLS Timeout: Regular (Full 5 Short 0),,
SUBSTITUTION,4,7:22,,,Nikola Vucevic,Derrick Jones Jr.,,SUB: Jones Jr. FOR Vucevic,,
MADE FG - ASSIST,4,7:08,104 - 96,-8,Zach LaVine,,,LaVine 23' Step Back Jump Shot (16 PTS),,
MADE FG - ASSIST,4,6:52,106 - 96,-10,Aaron Wiggins,,,,Wiggins 1' Driving Reverse Layup (6 PTS),
MISS-BLOCK,4,6:36,,,Zach LaVine,,,MISS LaVine 18' Pullup Jump Shot,,
DREB-OREB,4,6:34,,,Jalen Williams,,,,Jal. Williams REBOUND (Off:1 Def:7),
MISS-BLOCK,4,6:14,,,Josh Giddey,,,,MISS Giddey 10' Driving Floating Jump Shot,
DREB-OREB,4,6:12,,,Patrick Williams,,,Williams REBOUND (Off:1 Def:3),,
STEAL-TUROVER,4,6:06,,,Patrick Williams,Kenrich Williams,,Williams Bad Pass Turnover (P2.T14),K. Williams STEAL (1 STL),
SUBSTITUTION,4,6:02,,,Goran Dragic,Alex Caruso,,SUB: Caruso FOR Dragic,,
SUBSTITUTION,4,6:02,,,Patrick Williams,Nikola Vucevic,,SUB: Vucevic FOR Williams,,
SUBSTITUTION,4,6:02,,,Ayo Dosunmu,Coby White,,SUB: White FOR Dosunmu,,
MADE FG - ASSIST,4,5:55,108 - 96,-12,Josh Giddey,Darius Bazley,,,Giddey 1' Cutting Dunk Shot (23 PTS) (Bazley 1 AST),
STEAL-TUROVER,4,5:39,,,Alex Caruso,Darius Bazley,,Caruso Bad Pass Turnover (P2.T15),Bazley STEAL (2 STL),
MISS-BLOCK,4,5:33,,,Aaron Wiggins,,,,MISS Wiggins 3' Running Layup,
DREB-OREB,4,5:29,,,Kenrich Williams,,,,K. Williams REBOUND (Off:1 Def:4),
MISS-BLOCK,4,5:29,,,Kenrich Williams,,,,MISS K. Williams Tip Layup Shot,
DREB-OREB,4,5:29,,,Coby White,,,White REBOUND (Off:0 Def:6),,
FOUL,4,5:20,,,Jalen Williams,Alex Caruso,,,Jal. Williams P.FOUL (P2.T2) (T.Ford),
MISS-BLOCK,4,5:13,,,Derrick Jones Jr.,,,MISS Jones Jr. 3PT Jump Shot,,
DREB-OREB,4,5:10,,,Josh Giddey,,,,Giddey REBOUND (Off:2 Def:8),
STEAL-TUROVER,4,4:52,,,Josh Giddey,Alex Caruso,,Caruso STEAL (5 STL),Giddey Bad Pass Turnover (P3.T11),
MADE FG - ASSIST,4,4:47,108 - 98,-10,Zach LaVine,Alex Caruso,,LaVine 1' Running Layup (18 PTS) (Caruso 5 AST),,
9,4,4:39,,,,,,,Thunder Timeout: Regular (Reg.5 Short 0),
SUBSTITUTION,4,4:39,,,Jalen Williams,Shai Gilgeous-Alexander,,,SUB: Gilgeous-Alexander FOR Jal. Williams,
MADE FG - ASSIST,4,4:23,110 - 98,-12,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander 12' Pullup Jump Shot (19 PTS),
FOUL,4,4:10,,,Aaron Wiggins,Zach LaVine,,,Wiggins S.FOUL (P2.T3) (B.Adair),
MADE FREE THROW,4,4:10,110 - 99,-11,Zach LaVine,,,LaVine Free Throw 1 of 2 (19 PTS),,
MADE FREE THROW,4,4:10,110 - 100,-10,Zach LaVine,,,LaVine Free Throw 2 of 2 (20 PTS),,
FOUL,4,3:58,,,Derrick Jones Jr.,Shai Gilgeous-Alexander,,Jones Jr. S.FOUL (P2.T2) (B.Adair),,
MADE FREE THROW,4,3:58,111 - 100,-11,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Free Throw 1 of 2 (20 PTS),
MADE FREE THROW,4,3:58,112 - 100,-12,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander Free Throw 2 of 2 (21 PTS),
FOUL,4,3:50,,,Josh Giddey,Zach LaVine,,,Giddey S.FOUL (P2.T4) (B.Adair),
MADE FREE THROW,4,3:50,112 - 101,-11,Zach LaVine,,,LaVine Free Throw 1 of 2 (21 PTS),,
MADE FREE THROW,4,3:50,,,Zach LaVine,,,MISS LaVine Free Throw 2 of 2,,
DREB-OREB,4,3:47,,,Darius Bazley,,,,Bazley REBOUND (Off:1 Def:3),
MISS-BLOCK,4,3:30,,,Darius Bazley,,,,MISS Bazley 26' 3PT Jump Shot,
DREB-OREB,4,3:25,,,Zach LaVine,,,LaVine REBOUND (Off:0 Def:6),,
FOUL,4,3:21,,,Aaron Wiggins,Zach LaVine,,,Wiggins S.FOUL (P3.PN) (T.Ford),
MADE FREE THROW,4,3:21,112 - 102,-10,Zach LaVine,,,LaVine Free Throw 1 of 2 (22 PTS),,
SUBSTITUTION,4,3:21,,,Aaron Wiggins,Jalen Williams,,,SUB: Jal. Williams FOR Wiggins,
MADE FREE THROW,4,3:21,112 - 103,-9,Zach LaVine,,,LaVine Free Throw 2 of 2 (23 PTS),,
MADE FG - ASSIST,4,3:10,115 - 103,-12,Jalen Williams,Shai Gilgeous-Alexander,,,Jal. Williams 25' 3PT Jump Shot (18 PTS) (Gilgeous-Alexander 6 AST),
MISS-BLOCK,4,2:52,,,Derrick Jones Jr.,,,MISS Jones Jr. 2' Cutting Layup Shot,,
DREB-OREB,4,2:49,,,Nikola Vucevic,,,Vucevic REBOUND (Off:3 Def:6),,
MADE FG - ASSIST,4,2:49,115 - 105,-10,Nikola Vucevic,,,Vucevic Tip Layup Shot (19 PTS),,
MADE FG - ASSIST,4,2:30,117 - 105,-12,Josh Giddey,,,,Giddey 14' Turnaround Fadeaway (25 PTS),
MISS-BLOCK,4,2:17,,,Zach LaVine,,,MISS LaVine 26' 3PT Pullup Jump Shot,,
DREB-OREB,4,2:13,,,Kenrich Williams,,,,K. Williams REBOUND (Off:1 Def:5),
MISS-BLOCK,4,2:01,,,Kenrich Williams,,,,MISS K. Williams 3' Cutting Layup Shot,
DREB-OREB,4,1:59,,,Nikola Vucevic,,,Vucevic REBOUND (Off:3 Def:7),,
STEAL-TUROVER,4,1:58,,,Nikola Vucevic,Darius Bazley,,Vucevic Bad Pass Turnover (P4.T16),Bazley STEAL (3 STL),
MADE FG - ASSIST,4,1:44,120 - 105,-15,Kenrich Williams,Josh Giddey,,,K. Williams 3PT Jump Shot (8 PTS) (Giddey 5 AST),
9,4,1:44,,,,,,BULLS Timeout: Regular (Full 6 Short 0),,
SUBSTITUTION,4,1:44,,,Alex Caruso,Ayo Dosunmu,,SUB: Dosunmu FOR Caruso,,
MADE FG - ASSIST,4,1:40,120 - 107,-13,Zach LaVine,,,LaVine 1' Driving Dunk (25 PTS),,
MADE FG - ASSIST,4,1:28,122 - 107,-15,Jalen Williams,Josh Giddey,,,Jal. Williams 2' Layup (20 PTS) (Giddey 6 AST),
MISS-BLOCK,4,1:18,,,Zach LaVine,,,MISS LaVine 27' 3PT Pullup Jump Shot,,
DREB-OREB,4,1:15,,,Kenrich Williams,,,,K. Williams REBOUND (Off:1 Def:6),
MISS-BLOCK,4,0:59,,,Shai Gilgeous-Alexander,,,,MISS Gilgeous-Alexander 26' 3PT Step Back Jump Shot,
DREB-OREB,4,0:56,,,Kenrich Williams,,,,K. Williams REBOUND (Off:2 Def:6),
MISS-BLOCK,4,0:56,,,Kenrich Williams,,,,MISS K. Williams Putback Layup,
DREB-OREB,4,0:56,,,Nikola Vucevic,,,Vucevic REBOUND (Off:3 Def:8),,
9,4,0:56,,,,,,BULLS Timeout: Regular (Full 7 Short 0),,
SUBSTITUTION,4,0:56,,,Zach LaVine,Dalen Terry,,SUB: Terry FOR LaVine,,
SUBSTITUTION,4,0:56,,,Nikola Vucevic,Patrick Williams,,SUB: Williams FOR Vucevic,,
SUBSTITUTION,4,0:56,,,Shai Gilgeous-Alexander,Lindy Waters III,,,SUB: Waters III FOR Gilgeous-Alexander,
SUBSTITUTION,4,0:56,,,Josh Giddey,Aaron Wiggins,,,SUB: Wiggins FOR Giddey,
SUBSTITUTION,4,0:56,,,Kenrich Williams,Tre Mann,,,SUB: Mann FOR K. Williams,
MISS-BLOCK,4,0:45,,,Coby White,,,MISS White 9' Fadeaway Jumper,,
DREB-OREB,4,0:42,,,Aaron Wiggins,,,,Wiggins REBOUND (Off:1 Def:2),
MADE FG - ASSIST,4,0:27,124 - 107,-17,Jalen Williams,,,,Jal. Williams 3' Driving Floating Bank Jump Shot (22 PTS),
MISS-BLOCK,4,0:14,,,Patrick Williams,,Aaron Wiggins,MISS Williams 2' Driving Layup,Wiggins BLOCK (1 BLK),
DREB-OREB,4,0:12,,,Patrick Williams,,,Williams REBOUND (Off:2 Def:3),,
MADE FG - ASSIST,4,0:11,124 - 110,-14,Coby White,Patrick Williams,,White 3PT Jump Shot (19 PTS) (Williams 3 AST),,
MADE FG - ASSISTMADE FREE THROW,4,0:00,124 - 110,-14,,,,,,End of 4th Period (10:16 PM EST)
