eventmsgtype,period,pctimestring,score,scoremargin,player1_name,player2_name,player3_name,homedescription,visitordescription,neutraldescription
DREB-OREB,1,6:45,,,Kenrich Williams,,,,K. Williams REBOUND (Off:0 Def:1),
MADE FG - ASSIST,1,6:42,19 - 11,-8,Jalen Williams,Josh Giddey,,,Jal. Williams 1' Cutting Layup Shot (4 PTS) (Giddey 1 AST),
MISS-BLOCK,1,6:36,,,Ayo Dosunmu,,Josh Giddey,MISS Dosunmu 2' Running Layup,Giddey BLOCK (2 BLK),
DREB-OREB,1,6:36,,,,,,,Thunder Rebound,
SUBSTITUTION,1,6:17,,,Alex Caruso,Coby White,,SUB: White FOR Caruso,,
SUBSTITUTION,1,6:17,,,Nikola Vucevic,Derrick Jones Jr.,,SUB: Jones Jr. FOR Vucevic,,
MISS-BLOCK,1,6:12,,,Shai Gilgeous-Alexander,,,,MISS Gilgeous-Alexander 1' Cutting Layup Shot,
DREB-OREB,1,6:08,,,Ayo Dosunmu,,,Dosunmu REBOUND (Off:0 Def:2),,
MISS-BLOCK,1,6:00,,,Patrick Williams,,,MISS Williams 24' 3PT Jump Shot,,
DREB-OREB,1,5:54,,,Kenrich Williams,,,,K. Williams REBOUND (Off:0 Def:2),
MADE FG - ASSIST,1,5:46,21 - 11,-10,Jalen Williams,,,,Jal. Williams 1' Driving Layup (6 PTS),
FOUL,1,5:24,,,Luguentz Dort,Zach LaVine,,,Dort S.FOUL (P1.T3) (B.Adair),
MADE FREE THROW,1,5:24,21 - 12,-9,Zach LaVine,,,LaVine Free Throw 1 of 2 (4 PTS),,
MADE FREE THROW,1,5:24,21 - 13,-8,Zach LaVine,,,LaVine Free Throw 2 of 2 (5 PTS),,
MISS-BLOCK,1,5:16,,,Josh Giddey,,,,MISS Giddey 2' Driving Floating Jump Shot,
DREB-OREB,1,5:14,,,Derrick Jones Jr.,,,Jones Jr. REBOUND (Off:0 Def:1),,
MISS-BLOCK,1,5:09,,,Ayo Dosunmu,,,MISS Dosunmu 3PT Jump Shot,,
DREB-OREB,1,5:02,,,Ayo Dosunmu,,,Dosunmu REBOUND (Off:1 Def:2),,
